               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.023517,            0.016125,                   0,             0.89207,             0.90026,             0.94102,             0.60574,            0.028363,            0.016498,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.023598,            0.016299,                   0,             0.89013,             0.91062,             0.94513,             0.60581,            0.028485,            0.016399,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.023673,             0.01572,                   0,             0.88825,             0.90544,             0.94056,              0.6082,            0.028261,            0.016809,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.023606,             0.01592,                   0,              0.8974,             0.90026,             0.94133,             0.60244,            0.028749,            0.016851,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.023132,            0.015148,                   0,             0.89259,             0.90674,             0.94158,             0.61108,            0.028187,            0.016746,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.023761,            0.016122,                   0,             0.88723,             0.89637,             0.93776,             0.60957,            0.027835,            0.016846,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.022844,              0.0154,                   0,             0.90166,             0.88601,             0.94105,             0.61555,            0.027887,            0.016708,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.022906,            0.015511,                   0,             0.90729,             0.88737,             0.93749,             0.61423,            0.028151,            0.016884,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.02283,            0.016009,                   0,             0.88391,             0.90674,             0.93861,             0.61034,            0.027965,            0.016407,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.022494,            0.015215,                   0,              0.8988,             0.88601,             0.93999,             0.61041,            0.028207,            0.016893,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.022514,            0.014898,                   0,             0.91705,             0.87047,             0.94306,             0.61066,            0.028036,            0.016542,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.022083,            0.014928,                   0,              0.9071,             0.88212,             0.94111,             0.60879,            0.028368,            0.016637,                   0,            0.002179,            0.002179,            0.002179
